,name,year,wine ID,rating,price,winery,ratings_count,country,flavor_1,flavor_1_count,flavor_2,flavor_2_count,flavor_3,flavor_3_count,flavor_4,flavor_4_count,flavor_5,flavor_5_count
72,Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2013,2013,78014,4.0,50.96599861284283,Château Carbonnieux,934,pt,citrus_fruit,680,oak,551,tree_fruit,525,earth,487,microbio,347
73,Mendoza 2017,2017,1926899,4.5,93.46272115334502,Cheval des Andes,861,pt,oak,654,black_fruit,554,earth,459,non_oak,425,spices,342
74,Blanc de Blancs Brut Nature N.V.,N.V.,7281016,4.3,114.33021557063876,Laurent-Perrier,843,pt,citrus_fruit,52,tree_fruit,36,non_oak,35,microbio,34,oak,30
75,Toscana 2013,2013,1101590,4.2,52.09857635979489,Caiarossa,779,pt,oak,379,earth,296,black_fruit,293,non_oak,242,red_fruit,192
76,Ritz Champagne Brut Reserve N.V.,N.V.,5643580,4.2,54.24345811065986,Champagne Barons de Rothschild,761,pt,tree_fruit,47,non_oak,40,microbio,36,oak,35,citrus_fruit,28
77,Chante-Alouette Hermitage Blanc 2017,2017,20647,4.4,64.3264069021092,M. Chapoutier,731,pt,earth,381,tree_fruit,314,oak,281,microbio,271,non_oak,222
78,Colheita Port 1985,1985,76372,4.2,83.18933893541701,Kopke,712,pt,non_oak,613,oak,602,dried_fruit,428,earth,280,microbio,230
79,Barbera d'Alba Vigna Francia 2015,2015,82201,4.3,87.19846370338891,Giacomo Conterno,685,pt,earth,211,oak,189,red_fruit,143,black_fruit,129,non_oak,114
80,Aconcagua Valley 2017,2017,25474,4.4,135.30796091905177,Sena,636,pt,oak,811,black_fruit,745,non_oak,571,earth,550,spices,437
81,Colheita Port 1978,1978,76372,4.5,129.2942737670939,Kopke,634,pt,non_oak,613,oak,602,dried_fruit,428,earth,280,microbio,230
82,Aconcagua Valley 2018,2018,25474,4.5,135.30796091905177,Sena,633,pt,oak,811,black_fruit,745,non_oak,571,earth,550,spices,437
83,Saint-Julien (Grand Cru Classé) 1998,1998,1115658,4.3,98.53426398482948,Château Léoville Poyferré,628,pt,oak,1947,earth,1610,black_fruit,1597,non_oak,1379,spices,702
84,Grand Vintage Brut Champagne 2013,2013,19923,4.3,62.04120578436522,Moët & Chandon,626,pt,non_oak,738,tree_fruit,645,oak,641,microbio,634,citrus_fruit,515
85,Esporão Private Selection Branco 2014,2014,1105367,4.1,60.03664340037926,Esporão,610,pt,oak,145,microbio,97,tree_fruit,87,earth,80,non_oak,78
86,Barbera d'Alba Vigna Francia 2014,2014,82201,4.2,94.91602888173485,Giacomo Conterno,609,pt,earth,211,oak,189,red_fruit,143,black_fruit,129,non_oak,114
87,Porto Tawny 40 Years Old N.V.,N.V.,76398,4.3,97.22127562331868,Cálem,600,pt,oak,18,non_oak,12,earth,9,spices,6,dried_fruit,4
88,30 Year Old Tawny Port N.V.,N.V.,2039337,4.4,68.15512105552237,Burmester,582,pt,oak,16,earth,12,dried_fruit,11,non_oak,11,microbio,5
89,Saint-Émilion Grand Cru 2015,2015,1166787,4.2,56.07763269200701,Château Lassègue,544,pt,earth,366,oak,350,black_fruit,313,non_oak,247,red_fruit,188
90,30 Years Old Tawny Port N.V.,N.V.,2029311,4.5,95.21671323933272,Dow's,542,pt,non_oak,54,oak,46,dried_fruit,27,earth,20,spices,17
